,State,Constituency,Party
0,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bharatiya Janata Party
1,Andhra Pradesh,Amalapuram (SC),Telugu Desam
2,Andhra Pradesh,Anakapalle,Bharatiya Janata Party
3,Andhra Pradesh,Ananthapur,Telugu Desam
4,Andhra Pradesh,Araku (ST),Yuvajana Sramika Rythu Congress Party
5,Andhra Pradesh,Bapatla (SC),Telugu Desam
6,Andhra Pradesh,Chittoor(SC),Telugu Desam
7,Andhra Pradesh,Eluru,Telugu Desam
8,Andhra Pradesh,Guntur,Telugu Desam
9,Andhra Pradesh,Hindupur,Telugu Desam
10,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party
11,Andhra Pradesh,Kakinada,Janasena Party
12,Andhra Pradesh,Kurnoolu,Telugu Desam
13,Andhra Pradesh,Machilipatnam,Janasena Party
14,Andhra Pradesh,Nandyal,Telugu Desam
15,Andhra Pradesh,Narsapuram,Bharatiya Janata Party
16,Andhra Pradesh,Narsaraopet,Telugu Desam
17,Andhra Pradesh,Nellore,Telugu Desam
18,Andhra Pradesh,Ongole,Telugu Desam
19,Andhra Pradesh,Rajahmundry,Bharatiya Janata Party
20,Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party
21,Andhra Pradesh,Srikakulam,Telugu Desam
22,Andhra Pradesh,Thirupathi(SC),Yuvajana Sramika Rythu Congress Party
23,Andhra Pradesh,Vijayawada,Telugu Desam
24,Andhra Pradesh,Visakhapatnam,Telugu Desam
25,Andhra Pradesh,Vizianagaram,Telugu Desam
26,Arunachal Pradesh,Arunachal East,Bharatiya Janata Party
27,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party
28,Assam,Barpeta,Asom Gana Parishad
29,Assam,Darrang-Udalguri,Bharatiya Janata Party
30,Assam,Dhubri,Indian National Congress
31,Assam,Dibrugarh,Bharatiya Janata Party
32,Assam,Diphu,Bharatiya Janata Party
33,Assam,Guwahati,Bharatiya Janata Party
34,Assam,Jorhat,Indian National Congress
35,Assam,Karimganj,Bharatiya Janata Party
36,Assam,Kaziranga,Bharatiya Janata Party
37,Assam,Kokrajhar,"United People’s Party, Liberal"
38,Assam,Lakhimpur,Bharatiya Janata Party
39,Assam,Nagaon,Indian National Congress
40,Assam,Silchar,Bharatiya Janata Party
41,Assam,Sonitpur,Bharatiya Janata Party
42,Bihar,Araria,Bharatiya Janata Party
43,Bihar,Arrah,Communist Party of India  (Marxist-Leninist)  (Liberation)
44,Bihar,Aurangabad,Rashtriya Janata Dal
45,Bihar,Banka,Janata Dal  (United)
46,Bihar,Begusarai,Bharatiya Janata Party
47,Bihar,Bhagalpur,Janata Dal  (United)
48,Bihar,Buxar,Rashtriya Janata Dal
49,Bihar,Darbhanga,Bharatiya Janata Party
50,Bihar,Gaya,Hindustani Awam Morcha (Secular)
51,Bihar,Gopalganj,Janata Dal  (United)
52,Bihar,Hajipur,Lok Janshakti Party(Ram Vilas)
53,Bihar,Jahanabad,Rashtriya Janata Dal
54,Bihar,Jamui,Lok Janshakti Party(Ram Vilas)
55,Bihar,Jhanjharpur,Janata Dal  (United)
56,Bihar,Karakat,Communist Party of India  (Marxist-Leninist)  (Liberation)
57,Bihar,Katihar,Indian National Congress
58,Bihar,Khagaria,Lok Janshakti Party(Ram Vilas)
59,Bihar,Kishanganj,Indian National Congress
60,Bihar,Madhepura,Janata Dal  (United)
61,Bihar,Madhubani,Bharatiya Janata Party
62,Bihar,Maharajganj,Bharatiya Janata Party
63,Bihar,Munger,Janata Dal  (United)
64,Bihar,Muzaffarpur,Bharatiya Janata Party
65,Bihar,Nalanda,Janata Dal  (United)
66,Bihar,Nawada,Bharatiya Janata Party
67,Bihar,Paschim Champaran,Bharatiya Janata Party
68,Bihar,Patliputra,Rashtriya Janata Dal
69,Bihar,Patna Sahib,Bharatiya Janata Party
70,Bihar,Purnia,Independent
71,Bihar,Purvi Champaran,Bharatiya Janata Party
72,Bihar,Samastipur,Lok Janshakti Party(Ram Vilas)
73,Bihar,Saran,Bharatiya Janata Party
74,Bihar,Sasaram,Indian National Congress
75,Bihar,Sheohar,Janata Dal  (United)
76,Bihar,Sitamarhi,Janata Dal  (United)
77,Bihar,Siwan,Janata Dal  (United)
78,Bihar,Supaul,Janata Dal  (United)
79,Bihar,Ujiarpur,Bharatiya Janata Party
80,Bihar,Vaishali,Lok Janshakti Party(Ram Vilas)
81,Bihar,Valmiki Nagar,Janata Dal  (United)
82,Chandigarh,Chandigarh,Indian National Congress
83,Chhattisgarh,BASTAR,Bharatiya Janata Party
84,Chhattisgarh,BILASPUR,Bharatiya Janata Party
85,Chhattisgarh,DURG,Bharatiya Janata Party
86,Chhattisgarh,JANJGIR-CHAMPA,Bharatiya Janata Party
87,Chhattisgarh,KANKER,Bharatiya Janata Party
88,Chhattisgarh,KORBA,Indian National Congress
89,Chhattisgarh,MAHASAMUND,Bharatiya Janata Party
90,Chhattisgarh,RAIGARH,Bharatiya Janata Party
91,Chhattisgarh,RAIPUR,Bharatiya Janata Party
92,Chhattisgarh,RAJNANDGAON,Bharatiya Janata Party
93,Chhattisgarh,SURGUJA,Bharatiya Janata Party
94,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,Bharatiya Janata Party
95,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Independent
96,Goa,North Goa,Bharatiya Janata Party
97,Goa,South Goa,Indian National Congress
98,Gujarat,Ahmedabad East,Bharatiya Janata Party
99,Gujarat,Ahmedabad West,Bharatiya Janata Party
100,Gujarat,Amreli,Bharatiya Janata Party
101,Gujarat,Anand,Bharatiya Janata Party
102,Gujarat,Banaskantha,Indian National Congress
103,Gujarat,Bardoli,Bharatiya Janata Party
104,Gujarat,Bharuch,Bharatiya Janata Party
105,Gujarat,Bhavnagar,Bharatiya Janata Party
106,Gujarat,Chhota Udaipur,Bharatiya Janata Party
107,Gujarat,Dahod,Bharatiya Janata Party
108,Gujarat,Gandhinagar,Bharatiya Janata Party
109,Gujarat,Jamnagar,Bharatiya Janata Party
110,Gujarat,Junagadh,Bharatiya Janata Party
111,Gujarat,Kachchh,Bharatiya Janata Party
112,Gujarat,Kheda,Bharatiya Janata Party
113,Gujarat,Mahesana,Bharatiya Janata Party
114,Gujarat,Navsari,Bharatiya Janata Party
115,Gujarat,Panchmahal,Bharatiya Janata Party
116,Gujarat,Patan,Bharatiya Janata Party
117,Gujarat,Porbandar,Bharatiya Janata Party
118,Gujarat,Rajkot,Bharatiya Janata Party
119,Gujarat,Sabarkantha,Bharatiya Janata Party
120,Gujarat,Surat,Bharatiya Janata Party
121,Gujarat,Surendranagar,Bharatiya Janata Party
122,Gujarat,Vadodara,Bharatiya Janata Party
123,Gujarat,Valsad,Bharatiya Janata Party
124,Haryana,AMBALA,Indian National Congress
125,Haryana,BHIWANI-MAHENDRAGARH,Bharatiya Janata Party
126,Haryana,FARIDABAD,Bharatiya Janata Party
127,Haryana,GURGAON,Bharatiya Janata Party
128,Haryana,HISAR,Indian National Congress
129,Haryana,KARNAL,Bharatiya Janata Party
130,Haryana,KURUKSHETRA,Bharatiya Janata Party
131,Haryana,ROHTAK,Indian National Congress
132,Haryana,SIRSA,Indian National Congress
133,Haryana,SONIPAT,Indian National Congress
134,Himachal Pradesh,HAMIRPUR,Bharatiya Janata Party
135,Himachal Pradesh,KANGRA,Bharatiya Janata Party
